Cards,6Win
A/A u,0.4951
K/K u,0.4332
Q/Q u,0.38299999999999995
J/J u,0.3405
A/K s,0.3215
T/T u,0.3044
A/Q s,0.3056
K/Q s,0.2955
A/J s,0.2928
A/K u,0.2896
K/J s,0.2828
A/T s,0.2827
9/9 u,0.2711
Q/J s,0.2757
A/Q u,0.2721
K/T s,0.2732
Q/T s,0.2664
K/Q u,0.26280000000000003
J/T s,0.2633
A/J u,0.2579
A/9 s,0.2575
8/8 u,0.2451
K/J u,0.2488
K/9 s,0.2473
A/8 s,0.2498
A/T u,0.2466
Q/J u,0.2426
Q/9 s,0.2407
A/7 s,0.2427
T/9 s,0.239
J/9 s,0.2382
K/T u,0.23800000000000002
A/5 s,0.2419
7/7 u,0.2235
Q/T u,0.23199999999999998
A/4 s,0.2363
A/6 s,0.235
J/T u,0.2303
K/8 s,0.2297
A/3 s,0.2305
Q/8 s,0.2224
K/7 s,0.2237
A/2 s,0.2239
T/8 s,0.2212
J/8 s,0.2201
9/8 s,0.2172
A/9 u,0.2193
6/6 u,0.2059
K/6 s,0.2175
K/5 s,0.2129
K/9 u,0.2098
A/8 u,0.2107
Q/7 s,0.2065
K/4 s,0.2075
8/7 s,0.2039
Q/9 u,0.2041
T/7 s,0.2046
T/9 u,0.20440000000000005
9/7 s,0.203
J/7 s,0.2038
J/9 u,0.2028
K/3 s,0.2025
5/5 u,0.1905
Q/6 s,0.2019
A/7 u,0.2025
K/2 s,0.19760000000000005
A/5 u,0.2015
Q/5 s,0.1972
7/6 s,0.1931
8/6 s,0.1911
Q/4 s,0.1922
A/4 u,0.1951
A/6 u,0.1943
K/8 u,0.1904
T/6 s,0.1895
9/6 s,0.1882
J/6 s,0.1892
4/4 u,0.1776
Q/3 s,0.1869
6/5 s,0.1845
A/3 u,0.1887
T/8 u,0.185
J/5 s,0.1856
Q/8 u,0.1843
Q/2 s,0.1825
J/8 u,0.1831
7/5 s,0.18100000000000002
9/8 u,0.1814
K/7 u,0.1838
5/4 s,0.1782
J/4 s,0.1803
A/2 u,0.1815
8/5 s,0.1773
3/3 u,0.16690000000000002
J/3 s,0.1757
T/5 s,0.17620000000000002
9/5 s,0.1741
K/6 u,0.1772
6/4 s,0.17170000000000002
J/2 s,0.1711
T/4 s,0.17190000000000005
2/2 u,0.15869999999999998
7/4 s,0.1666
5/3 s,0.1659
K/5 u,0.1718
8/7 u,0.16760000000000005
T/3 s,0.1672
9/7 u,0.1661
T/7 u,0.1671
Q/7 u,0.16699999999999998
J/7 u,0.16510000000000002
8/4 s,0.1625
T/2 s,0.16269999999999998
K/4 u,0.1659
4/3 s,0.159
9/4 s,0.1605
6/3 s,0.1577
Q/6 u,0.1617
K/3 u,0.1603
9/3 s,0.1567
7/6 u,0.1562
5/2 s,0.1519
7/3 s,0.1525
9/2 s,0.1522
Q/5 u,0.1566
K/2 u,0.1549
8/6 u,0.1535
8/3 s,0.1494
4/2 s,0.1468
9/6 u,0.15
T/6 u,0.1506
Q/4 u,0.1508
8/2 s,0.1458
6/5 u,0.1471
J/6 u,0.1494
6/2 s,0.1437
3/2 s,0.1402
Q/3 u,0.1452
7/5 u,0.1434
7/2 s,0.13970000000000002
J/5 u,0.14529999999999998
5/4 u,0.1405
Q/2 u,0.14
8/5 u,0.1387
J/4 u,0.1396
6/4 u,0.1334
9/5 u,0.1348
T/5 u,0.1363
J/3 u,0.1342
T/4 u,0.1316
J/2 u,0.1292
5/3 u,0.12710000000000002
7/4 u,0.1278
T/3 u,0.12619999999999998
8/4 u,0.1229
4/3 u,0.1199
T/2 u,0.1212
6/3 u,0.1182
9/4 u,0.1201
9/3 u,0.1158
5/2 u,0.1123
7/3 u,0.1124
9/2 u,0.1108
4/2 u,0.1067
8/3 u,0.1086
6/2 u,0.1032
8/2 u,0.1045
3/2 u,0.0998
7/2 u,0.0987
