Cards,2Win,3Win,4Win,6Win
J/J u,0.7715000000000001,0.6157,0.4963,0.3405
J/T s,0.5615,0.4344,0.35340000000000005,0.2633
J/T u,0.5383,0.4058,0.3224,0.2303
K/2 s,0.5124,0.3691,0.2805,0.19760000000000005
K/2 u,0.4842,0.33340000000000003,0.2405,0.1549
K/3 s,0.5207,0.3778,0.2877,0.2025
K/3 u,0.4933,0.3426,0.2484,0.1603
K/4 s,0.5289,0.3863,0.2949,0.2075
K/4 u,0.5023,0.3519,0.2565,0.1659
K/5 s,0.5383,0.3951,0.30260000000000004,0.2129
K/5 u,0.5125,0.3615,0.2647,0.1718
K/6 s,0.5479999999999999,0.4029,0.3096,0.2175
K/6 u,0.523,0.37,0.2725,0.1772
K/7 s,0.5585,0.4119,0.3177,0.2237
K/7 u,0.5342,0.3796,0.2814,0.1838
K/8 s,0.5679,0.4191,0.3251,0.2297
K/8 u,0.5443,0.3875,0.2893,0.1904
K/9 s,0.5864,0.4388,0.3453,0.2473
K/9 u,0.5640999999999999,0.4088000000000001,0.31120000000000003,0.2098
K/J s,0.6148,0.4722,0.3818,0.2828
K/J u,0.5943999999999999,0.4446,0.3508,0.2488
K/K u,0.8212,0.6920999999999999,0.5859000000000001,0.4332
K/Q s,0.6241,0.4828,0.3941,0.2955
K/Q u,0.6043,0.4561,0.3642,0.26280000000000003
K/T s,0.6059,0.4624,0.3712,0.2732
K/T u,0.5849,0.4342,0.3393,0.238
Q/2 s,0.48100000000000004,0.344,0.2601,0.1825
Q/2 u,0.4511,0.3072,0.2199,0.14
Q/3 s,0.4894,0.3522,0.2673,0.1869
Q/3 u,0.4602000000000001,0.3163,0.2275,0.1452
Q/4 s,0.4976,0.3608,0.2743,0.1922
Q/4 u,0.4692,0.3255,0.2354,0.1508
Q/5 s,0.5071,0.3693,0.2817,0.1972
Q/5 u,0.4796,0.3348,0.2435,0.1566
Q/6 s,0.5168,0.377,0.2887,0.2019
Q/6 u,0.49,0.3433,0.2511,0.1617
Q/7 s,0.5252,0.3833,0.2947,0.2065
Q/7 u,0.499,0.3501,0.2576,0.16699999999999998
Q/8 s,0.5442,0.4028,0.3138,0.2224
Q/8 u,0.5193,0.3709,0.2783,0.1843
Q/9 s,0.5622,0.4225,0.33409999999999995,0.2407
Q/9 u,0.5386,0.392,0.3004,0.2041
Q/J s,0.5907,0.4555,0.3702,0.2757
Q/J u,0.5690999999999999,0.4276,0.3396,0.2426
Q/Q u,0.7963,0.6529,0.5390999999999999,0.383
Q/T s,0.5817,0.4459,0.3599,0.2664
Q/T u,0.5595,0.4173,0.3283,0.232
T/2 s,0.4254,0.306,0.2315,0.16269999999999998
T/2 u,0.3924,0.2679,0.1909,0.1212
T/3 s,0.4338,0.31420000000000003,0.2382,0.1672
T/3 u,0.4016,0.2768,0.1984,0.12619999999999998
T/4 s,0.442,0.3222,0.2454,0.17190000000000005
T/4 u,0.4106,0.28550000000000003,0.2061,0.1316
T/5 s,0.4494,0.3281,0.2507,0.17620000000000002
T/5 u,0.4186,0.2921,0.2119,0.1363
T/6 s,0.46799999999999997,0.3464,0.2676,0.1895
T/6 u,0.4385,0.3116,0.2303,0.1506
T/7 s,0.4865,0.3651,0.2859,0.2046
T/7 u,0.4583,0.3319,0.2503,0.1671
T/8 s,0.5051,0.3846,0.3053,0.2212
T/8 u,0.4782,0.3526,0.271,0.185
T/9 s,0.5238,0.4038000000000001,0.3255,0.239
T/9 u,0.4982,0.3736,0.2928,0.20440000000000005
T/T u,0.7465999999999999,0.5802,0.4569,0.3044
