Cards,3Win
A/A u,0.7378
K/K u,0.6920999999999999
Q/Q u,0.6529
J/J u,0.6157
T/T u,0.5802
9/9 u,0.5408
A/K s,0.5177
8/8 u,0.5046
A/Q s,0.5056
A/K u,0.4928
A/J s,0.4949
K/Q s,0.4828
A/T s,0.485
A/Q u,0.4801
7/7 u,0.4702
K/J s,0.4722
A/J u,0.4684
K/T s,0.4624
A/9 s,0.4616
K/Q u,0.4561
A/T u,0.4579
Q/J s,0.4555
A/8 s,0.4531
6/6 u,0.4377
Q/T s,0.4459
K/J u,0.4446
A/7 s,0.4432
K/9 s,0.4388
J/T s,0.4344
K/T u,0.4342
A/9 u,0.4325
A/5 s,0.4359
Q/J u,0.4276
A/6 s,0.4319
Q/9 s,0.4225
A/4 s,0.4270000000000001
A/8 u,0.4231
Q/T u,0.4173
K/8 s,0.4191
5/5 u,0.40700000000000003
A/3 s,0.418
J/9 s,0.4111
K/7 s,0.4119
A/7 u,0.4125
K/9 u,0.4088000000000001
J/T u,0.4058
A/2 s,0.4086
T/9 s,0.4038000000000001
Q/8 s,0.4028
K/6 s,0.4029
A/5 u,0.4046
A/6 u,0.4004
Q/9 u,0.392
K/5 s,0.3951
J/8 s,0.3914
A/4 u,0.3945
K/8 u,0.3875
4/4 u,0.3742
T/8 s,0.3846
K/4 s,0.3863
Q/7 s,0.3833
J/9 u,0.3805
A/3 u,0.385
K/7 u,0.3796
9/8 s,0.3774
Q/6 s,0.377
K/3 s,0.3778
T/9 u,0.3736
J/7 s,0.3721
Q/8 u,0.3709
A/2 u,0.3747
K/6 u,0.37
K/2 s,0.3691
Q/5 s,0.3693
T/7 s,0.3651
J/8 u,0.3594
9/7 s,0.35950000000000004
Q/4 s,0.3608
K/5 u,0.3615
8/7 s,0.3565
3/3 u,0.3433
T/8 u,0.3526
J/6 s,0.3533
Q/3 s,0.3522
Q/7 u,0.3501
K/4 u,0.3519
J/5 s,0.3479
9/8 u,0.3455
T/6 s,0.3464
Q/2 s,0.344
Q/6 u,0.3433
9/6 s,0.3408
K/3 u,0.3426
8/6 s,0.33880000000000005
J/7 u,0.3386
7/6 s,0.3385
J/4 s,0.3395
Q/5 u,0.3348
T/7 u,0.3319
K/2 u,0.33340000000000003
J/3 s,0.33140000000000003
T/5 s,0.3281
9/7 u,0.326
2/2 u,0.314
8/7 u,0.3233
Q/4 u,0.3255
J/2 s,0.3233
6/5 s,0.3221
9/5 s,0.3224
T/4 s,0.3222
7/5 s,0.321
8/5 s,0.3206
J/6 u,0.3185
Q/3 u,0.3163
T/3 s,0.31420000000000003
T/6 u,0.3116
J/5 u,0.3126
5/4 s,0.3098
T/2 s,0.306
Q/2 u,0.3072
9/6 u,0.3061
6/4 s,0.3042
8/6 u,0.3043
7/6 u,0.3041
9/4 s,0.3035
7/4 s,0.30210000000000004
J/4 u,0.3035
8/4 s,0.3016
9/3 s,0.2978
J/3 u,0.2944
5/3 s,0.2918
T/5 u,0.2921
9/2 s,0.2898
6/5 u,0.287
6/3 s,0.28550000000000003
9/5 u,0.2863
J/2 u,0.2856
7/5 u,0.2854
T/4 u,0.28550000000000003
4/3 s,0.2828
8/5 u,0.2847
7/3 s,0.28300000000000003
8/3 s,0.2828
8/2 s,0.2773
T/3 u,0.2768
5/2 s,0.273
5/4 u,0.2737
6/2 s,0.2665
6/4 u,0.2676
T/2 u,0.2679
4/2 s,0.2649
7/2 s,0.2644
9/4 u,0.2659
7/4 u,0.2651
8/4 u,0.2642
9/3 u,0.2597
3/2 s,0.2561
5/3 u,0.2546
9/2 u,0.251
6/3 u,0.2474
4/3 u,0.2449
7/3 u,0.2447
8/3 u,0.244
8/2 u,0.2379
5/2 u,0.2343
6/2 u,0.2269
4/2 u,0.2256
7/2 u,0.2244
3/2 u,0.2161
